               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.047998,            0.012872,            0.031084,             0.36813,             0.39497,             0.31221,             0.23751,            0.029481,           0.0045054,            0.024848,           0.0096186,           0.0096186,           0.0096186
                  68,            0.048067,            0.012743,            0.031166,             0.37054,             0.39234,             0.31057,             0.23828,            0.029467,           0.0044999,            0.024727,           0.0096071,           0.0096071,           0.0096071
                  69,            0.047913,            0.012932,            0.030605,             0.37489,             0.39786,             0.31453,             0.24007,            0.029462,           0.0044952,             0.02464,           0.0095955,           0.0095955,           0.0095955
                  70,            0.047912,            0.012828,            0.030303,             0.41649,             0.37447,             0.32231,             0.24605,             0.02947,           0.0044818,             0.02453,           0.0095837,           0.0095837,           0.0095837
                  71,            0.047326,             0.01301,            0.029855,             0.40281,             0.37766,             0.32631,               0.249,            0.029455,           0.0044766,            0.024409,           0.0095717,           0.0095717,           0.0095717
                  72,            0.047611,            0.012909,            0.029995,             0.39749,             0.37915,             0.32812,             0.24942,            0.029432,            0.004472,            0.024304,           0.0095596,           0.0095596,           0.0095596
                  73,             0.04748,              0.0131,             0.02986,             0.39633,              0.3777,             0.33252,             0.25219,            0.029417,           0.0044626,            0.024219,           0.0095473,           0.0095473,           0.0095473
                  74,            0.047502,            0.012818,            0.029239,              0.3896,             0.38597,             0.33792,             0.25649,            0.029407,           0.0044586,             0.02415,           0.0095349,           0.0095349,           0.0095349
                  75,             0.04712,            0.012726,            0.028696,             0.40122,             0.38084,             0.33267,             0.25113,            0.029401,           0.0044536,            0.024068,           0.0095223,           0.0095223,           0.0095223
                  76,            0.046891,            0.012778,            0.028562,             0.39529,             0.39096,             0.33903,             0.25676,            0.029385,            0.004447,            0.023988,           0.0095095,           0.0095095,           0.0095095
                  77,            0.047379,            0.012632,            0.028425,             0.39653,             0.39159,             0.34161,             0.25779,            0.029367,           0.0044428,            0.023913,           0.0094966,           0.0094966,           0.0094966
                  78,            0.047431,            0.012776,            0.028505,             0.40161,             0.39753,             0.34398,             0.26026,            0.029347,           0.0044422,            0.023834,           0.0094835,           0.0094835,           0.0094835
                  79,            0.047593,            0.012646,            0.028026,             0.40241,             0.40008,             0.34428,             0.26042,            0.029337,             0.00444,            0.023771,           0.0094703,           0.0094703,           0.0094703
                  80,            0.047107,            0.012591,            0.027909,             0.40242,             0.39364,             0.34625,             0.26201,            0.029327,           0.0044348,            0.023706,           0.0094569,           0.0094569,           0.0094569
                  81,            0.047258,            0.012821,            0.027565,             0.42992,             0.37715,             0.35461,             0.26839,            0.029313,            0.004428,            0.023634,           0.0094434,           0.0094434,           0.0094434
                  82,            0.047613,            0.012754,            0.027302,             0.43246,              0.3789,             0.35262,             0.26704,            0.029297,           0.0044218,            0.023569,           0.0094297,           0.0094297,           0.0094297
                  83,             0.04681,            0.012551,            0.027254,             0.40795,             0.40029,             0.35317,             0.26779,            0.029294,           0.0043875,             0.02351,           0.0094158,           0.0094158,           0.0094158
                  84,            0.047448,            0.012818,            0.027087,             0.39628,             0.41133,             0.35499,             0.26924,            0.029289,           0.0043734,            0.023454,           0.0094018,           0.0094018,           0.0094018
                  85,            0.046572,            0.012531,            0.026769,             0.40139,             0.41052,             0.35579,             0.27032,            0.029286,           0.0043682,            0.023386,           0.0093877,           0.0093877,           0.0093877
                  86,            0.046866,            0.013003,            0.026225,             0.41112,             0.40776,             0.35561,             0.26971,            0.029276,           0.0043634,            0.023324,           0.0093733,           0.0093733,           0.0093733
                  87,            0.046835,            0.012545,            0.026332,             0.40418,             0.41017,             0.35661,             0.27042,            0.029259,           0.0043549,            0.023255,           0.0093589,           0.0093589,           0.0093589
                  88,            0.046563,            0.012549,            0.026057,             0.40067,              0.4079,             0.35828,             0.27188,            0.029246,           0.0043469,            0.023193,           0.0093442,           0.0093442,           0.0093442
                  89,            0.046836,            0.012505,            0.025643,              0.3981,              0.4088,             0.35982,             0.27411,             0.02924,           0.0043404,            0.023136,           0.0093295,           0.0093295,           0.0093295
                  90,            0.046925,            0.012426,            0.025621,             0.40006,             0.41297,             0.36415,             0.27762,            0.029233,           0.0043359,            0.023067,           0.0093146,           0.0093146,           0.0093146
                  91,            0.046961,            0.012327,             0.02553,             0.40587,             0.40275,             0.36532,              0.2784,            0.029228,             0.00433,            0.023008,           0.0092995,           0.0092995,           0.0092995
                  92,            0.046726,            0.012515,            0.025574,             0.40487,             0.40756,             0.36693,             0.28006,            0.029223,           0.0043239,            0.022955,           0.0092843,           0.0092843,           0.0092843
                  93,            0.047017,            0.012561,            0.025039,             0.40925,             0.40685,             0.37059,              0.2835,             0.02922,           0.0043201,            0.022899,           0.0092689,           0.0092689,           0.0092689
                  94,            0.046536,            0.012399,            0.025065,             0.41084,             0.40652,             0.37098,             0.28307,            0.029209,           0.0043145,            0.022835,           0.0092534,           0.0092534,           0.0092534
                  95,            0.047079,            0.012457,            0.024914,             0.41549,             0.40477,              0.3724,             0.28419,            0.029203,           0.0043054,            0.022782,           0.0092377,           0.0092377,           0.0092377
                  96,            0.046471,            0.012439,            0.024075,               0.433,              0.4093,             0.37376,             0.28516,            0.029192,           0.0043001,            0.022727,           0.0092219,           0.0092219,           0.0092219
                  97,            0.046256,            0.012468,            0.023946,              0.4281,             0.41344,             0.37964,             0.29125,            0.029192,           0.0042958,            0.022677,           0.0092059,           0.0092059,           0.0092059
                  98,            0.046757,            0.012589,            0.024001,             0.43163,             0.40818,             0.38158,             0.29252,            0.029191,           0.0042895,             0.02262,           0.0091898,           0.0091898,           0.0091898
                  99,             0.04695,            0.012512,             0.02416,             0.43408,             0.40631,             0.38469,             0.29398,            0.029192,           0.0042854,            0.022571,           0.0091735,           0.0091735,           0.0091735
